grade_map,k_ratio,direction,varied_grade,fixed_category,p_any_analytical,p_any_simulated,a_probability_analytical,a_probability_simulated,b_probability_analytical,b_probability_simulated,fixed_probability_baseline,fixed_probability_pct_change
Moderate,2.0,vary_A,VERY_HIGH,B,0.5238095238095238,0.523778,0.4761904761904762,0.476274,0.04761904761904762,0.047504,0.07407407407407407,-35.71428571428571
Moderate,2.0,vary_B,NONE,A,0.2,0.199359,0.2,0.199359,0.0,0.0,0.18518518518518517,8.000000000000007
Moderate,2.0,vary_B,LOW,A,0.2079207920792079,0.208223,0.198019801980198,0.198227,0.009900990099009901,0.009996,0.18518518518518517,6.930693069306937
Moderate,2.0,vary_B,NORMAL,A,0.23076923076923078,0.230533,0.19230769230769232,0.191995,0.038461538461538464,0.038538,0.18518518518518517,3.8461538461538547
Moderate,2.0,vary_B,HIGH,A,0.25925925925925924,0.259798,0.18518518518518517,0.185407,0.07407407407407407,0.074391,0.18518518518518517,0.0
Moderate,2.0,vary_B,VERY_HIGH,A,0.3103448275862069,0.310131,0.1724137931034483,0.172194,0.13793103448275862,0.137937,0.18518518518518517,-6.896551724137923
Moderate,4.0,vary_A,NONE,B,0.047619047619047616,0.0476,0.0,0.0,0.047619047619047616,0.0476,0.0425531914893617,11.904761904761907
Moderate,4.0,vary_A,LOW,B,0.07514450867052024,0.075151,0.028901734104046246,0.029113,0.04624277456647399,0.046038,0.0425531914893617,8.670520231213885
Moderate,4.0,vary_A,NORMAL,B,0.14893617021276595,0.149379,0.10638297872340426,0.107019,0.0425531914893617,0.04236,0.0425531914893617,0.0
Moderate,4.0,vary_A,HIGH,B,0.23076923076923078,0.231098,0.19230769230769232,0.192408,0.038461538461538464,0.03869,0.0425531914893617,-9.615384615384603
Moderate,4.0,vary_A,VERY_HIGH,B,0.3548387096774194,0.354391,0.32258064516129037,0.322302,0.03225806451612903,0.032089,0.0425531914893617,-24.193548387096776
Moderate,4.0,vary_B,NONE,A,0.1111111111111111,0.111384,0.11111111111111112,0.111384,0.0,0.0,0.10638297872340426,4.444444444444451
Moderate,4.0,vary_B,LOW,A,0.11602209944751381,0.11615,0.11049723756906077,0.110626,0.0055248618784530384,0.005524,0.10638297872340426,3.8674033149171283
Moderate,4.0,vary_B,NORMAL,A,0.13043478260869565,0.130262,0.10869565217391304,0.108505,0.021739130434782608,0.021757,0.10638297872340426,2.1739130434782483
Moderate,4.0,vary_B,HIGH,A,0.14893617021276595,0.149103,0.10638297872340426,0.106951,0.0425531914893617,0.042152,0.10638297872340426,0.0
Moderate,4.0,vary_B,VERY_HIGH,A,0.1836734693877551,0.183912,0.10204081632653061,0.102427,0.0816326530612245,0.081485,0.10638297872340426,-4.081632653061218
Moderate,8.0,vary_A,NONE,B,0.024390243902439025,0.024439,0.0,0.0,0.024390243902439025,0.024439,0.022988505747126436,6.0975609756097615
Moderate,8.0,vary_A,LOW,B,0.03903903903903904,0.039313,0.015015015015015015,0.015265,0.024024024024024024,0.024048,0.022988505747126436,4.504504504504503
Moderate,8.0,vary_A,NORMAL,B,0.08045977011494253,0.08065,0.05747126436781609,0.057576,0.022988505747126436,0.023074,0.022988505747126436,0.0
Moderate,8.0,vary_A,HIGH,B,0.13043478260869565,0.130429,0.10869565217391304,0.108795,0.021739130434782608,0.021634,0.022988505747126436,-5.434782608695654
Moderate,8.0,vary_A,VERY_HIGH,B,0.21568627450980393,0.215308,0.19607843137254902,0.195647,0.0196078431372549,0.019661,0.022988505747126436,-14.70588235294118
Moderate,8.0,vary_B,NONE,A,0.058823529411764705,0.058811,0.058823529411764705,0.058811,0.0,0.0,0.05747126436781609,2.35294117647058
Moderate,8.0,vary_B,LOW,A,0.06158357771260997,0.061577,0.05865102639296187,0.058719,0.002932551319648094,0.002858,0.05747126436781609,2.052785923753664
Moderate,8.0,vary_B,NORMAL,A,0.06976744186046512,0.069752,0.05813953488372093,0.058181,0.011627906976744186,0.011571,0.05747126436781609,1.1627906976744207
Moderate,8.0,vary_B,HIGH,A,0.08045977011494253,0.080462,0.05747126436781609,0.057445,0.022988505747126436,0.023017,0.05747126436781609,0.0
Moderate,8.0,vary_B,VERY_HIGH,A,0.10112359550561797,0.100988,0.056179775280898875,0.056036,0.0449438202247191,0.044952,0.05747126436781609,-2.2471910112359605
Wide,0.25,vary_A,NONE,B,0.5454545454545454,0.546305,0.0,0.0,0.5454545454545454,0.546305,0.2857142857142857,90.90909090909089
Wide,0.25,vary_A,LOW,B,0.5833333333333334,0.583927,0.08333333333333334,0.083386,0.5,0.500541,0.2857142857142857,75.0
Wide,0.25,vary_A,NORMAL,B,0.7619047619047619,0.761807,0.47619047619047616,0.476171,0.2857142857142857,0.285636,0.2857142857142857,0.0
Wide,0.25,vary_A,HIGH,B,0.8780487804878049,0.878088,0.7317073170731707,0.731511,0.14634146341463414,0.146577,0.2857142857142857,-48.78048780487805
Wide,0.25,vary_A,VERY_HIGH,B,0.945054945054945,0.945425,0.8791208791208791,0.878988,0.06593406593406594,0.066437,0.2857142857142857,-76.92307692307692
Wide,0.25,vary_B,NONE,A,0.6666666666666666,0.667286,0.6666666666666665,0.667286,0.0,0.0,0.47619047619047616,39.99999999999997
Wide,0.25,vary_B,LOW,A,0.6710526315789473,0.671232,0.6578947368421052,0.658005,0.013157894736842106,0.013227,0.47619047619047616,38.1578947368421
Wide,0.25,vary_B,NORMAL,A,0.7058823529411765,0.705747,0.5882352941176471,0.58809,0.11764705882352941,0.117657,0.47619047619047616,23.529411764705888
Wide,0.25,vary_B,HIGH,A,0.7619047619047619,0.761953,0.47619047619047616,0.476368,0.2857142857142857,0.285585,0.47619047619047616,0.0
Wide,0.25,vary_B,VERY_HIGH,A,0.8387096774193549,0.838775,0.3225806451612903,0.322238,0.5161290322580646,0.516537,0.47619047619047616,-32.258064516129025
Wide,0.5,vary_A,NONE,B,0.375,0.374837,0.0,0.0,0.375,0.374837,0.23076923076923075,62.5
Wide,0.5,vary_A,LOW,B,0.4117647058823529,0.411337,0.0588235294117647,0.058944,0.3529411764705882,0.352393,0.23076923076923075,52.941176470588225
Wide,0.5,vary_A,NORMAL,B,0.6153846153846154,0.61479,0.38461538461538464,0.384395,0.23076923076923075,0.230395,0.23076923076923075,0.0
Wide,0.5,vary_A,HIGH,B,0.782608695652174,0.782446,0.6521739130434783,0.652205,0.13043478260869568,0.130241,0.23076923076923075,-43.4782608695652
Wide,0.5,vary_A,VERY_HIGH,B,0.8958333333333334,0.896121,0.8333333333333334,0.833215,0.0625,0.062906,0.23076923076923075,-72.91666666666666
Wide,0.5,vary_B,NONE,A,0.5,0.500326,0.5,0.500326,0.0,0.0,0.38461538461538464,29.999999999999982
Wide,0.5,vary_B,LOW,A,0.504950495049505,0.504853,0.49504950495049505,0.495049,0.009900990099009901,0.009804,0.38461538461538464,28.712871287128692
Wide,0.5,vary_B,NORMAL,A,0.5454545454545454,0.545258,0.45454545454545453,0.455109,0.0909090909090909,0.090149,0.38461538461538464,18.181818181818166
Wide,0.5,vary_B,HIGH,A,0.6153846153846154,0.614744,0.38461538461538464,0.384317,0.23076923076923075,0.230427,0.38461538461538464,0.0
Wide,0.5,vary_B,VERY_HIGH,A,0.7222222222222222,0.722407,0.2777777777777778,0.277137,0.4444444444444444,0.44527,0.38461538461538464,-27.77777777777778
Wide,1.0,vary_A,NONE,B,0.23076923076923078,0.23119,0.0,0.0,0.23076923076923078,0.23119,0.16666666666666666,38.46153846153848
Wide,1.0,vary_A,LOW,B,0.25925925925925924,0.259787,0.037037037037037035,0.036976,0.2222222222222222,0.222811,0.16666666666666666,33.33333333333333
Wide,1.0,vary_A,NORMAL,B,0.4444444444444444,0.443186,0.2777777777777778,0.277273,0.16666666666666666,0.165913,0.16666666666666666,0.0
Wide,1.0,vary_A,HIGH,B,0.6428571428571429,0.64353,0.5357142857142857,0.536493,0.10714285714285715,0.107037,0.16666666666666666,-35.71428571428571
Wide,1.0,vary_A,VERY_HIGH,B,0.8113207547169812,0.811589,0.7547169811320755,0.754941,0.05660377358490566,0.056648,0.16666666666666666,-66.0377358490566
Wide,1.0,vary_B,NONE,A,0.3333333333333333,0.333492,0.33333333333333326,0.333492,0.0,0.0,0.2777777777777778,19.99999999999997
Wide,1.0,vary_B,LOW,A,0.33774834437086093,0.337346,0.33112582781456956,0.330572,0.006622516556291391,0.006774,0.2777777777777778,19.20529801324504
